code,description,last_updated
126881002,Neoplasm of renal pelvis,2025-09-11 21:22:33
126882009,Neoplasm of ureter,2025-09-11 21:22:33
126883004,Neoplasm of urethra,2025-09-11 21:22:33
126884005,Neoplasm of paraurethral glands,2025-09-11 21:22:33
126885006,Neoplasm of bladder,2025-09-11 21:22:33
126886007,Neoplasm of trigone of urinary bladder,2025-09-11 21:22:33
126887003,Neoplasm of apex of urinary bladder,2025-09-11 21:22:33
126888008,Neoplasm of lateral wall of urinary bladder,2025-09-11 21:22:33
126889000,Neoplasm of anterior wall of urinary bladder,2025-09-11 21:22:33
126890009,Neoplasm of posterior wall of urinary bladder,2025-09-11 21:22:33
126891008,Neoplasm of urinary bladder neck,2025-09-11 21:22:33
126892001,Neoplasm of ureteric orifice of urinary bladder,2025-09-11 21:22:33
126893006,Neoplasm of urachus,2025-09-11 21:22:33
126895004,Neoplasm of male genital organ,2025-09-11 21:22:33
126896003,Neoplasm of penis,2025-09-11 21:22:33
126897007,Neoplasm of prepuce,2025-09-11 21:22:33
126898002,Neoplasm of glans penis,2025-09-11 21:22:33
126899005,Neoplasm of body of penis,2025-09-11 21:22:33
126900000,Neoplasm of testis,2025-09-11 21:22:33
126901001,Neoplasm of undescended testis,2025-09-11 21:22:33
126902008,Neoplasm of epididymis,2025-09-11 21:22:33
126903003,Neoplasm of vas deferens,2025-09-11 21:22:33
126904009,Neoplasm of spermatic cord,2025-09-11 21:22:33
126905005,Neoplasm of scrotum,2025-09-11 21:22:33
126906006,Neoplasm of prostate,2025-09-11 21:22:33
126907002,Neoplasm of female genital organ,2025-09-11 21:22:33
126908007,Neoplasm of uterus,2025-09-11 21:22:33
126909004,Neoplasm of body of uterus,2025-09-11 21:22:33
126910009,Neoplasm of myometrium,2025-09-11 21:22:33
126911008,Neoplasm of isthmus of uterus,2025-09-11 21:22:33
126912001,Neoplasm of endocervix,2025-09-11 21:22:33
126913006,Neoplasm of exocervix,2025-09-11 21:22:33
126914000,Neoplasm of fundus uteri,2025-09-11 21:22:33
