code,description,last_updated
100059-5,Rifapentine,2025-09-11 21:14:16
100060-3,Tildipirosin,2025-09-11 21:14:16
100061-1,Tosufloxacin,2025-09-11 21:14:16
100062-9,Standard Dermatology Outcome Measures panel,2025-09-11 21:14:16
100063-7,Primary skin concern,2025-09-11 21:14:16
100064-5,Itch severity,2025-09-11 21:14:16
10006-5,R wave duration.lead V3,2025-09-11 21:14:16
100065-2,Satisfied with treatment,2025-09-11 21:14:16
100066-0,Specular microscopy panel,2025-09-11 21:14:16
100067-8,Image magnification,2025-09-11 21:14:16
100068-6,Fixation point,2025-09-11 21:14:16
100069-4,Fixation point,2025-09-11 21:14:16
100070-2,Cell density,2025-09-11 21:14:16
100071-0,Cell density,2025-09-11 21:14:16
100072-8,Coefficient of variation,2025-09-11 21:14:16
10007-3,R wave duration.lead V4,2025-09-11 21:14:16
100073-6,Coefficient of variation,2025-09-11 21:14:16
100074-4,Hexagonality,2025-09-11 21:14:16
100075-1,Hexagonality,2025-09-11 21:14:16
100076-9,Endothelial cells counted,2025-09-11 21:14:16
100077-7,Endothelial cells counted,2025-09-11 21:14:16
100078-5,Endothelial cell area.min,2025-09-11 21:14:16
100079-3,Endothelial cell area.min,2025-09-11 21:14:16
100080-1,Endothelial cell area.max,2025-09-11 21:14:16
10008-1,R wave duration.lead V5,2025-09-11 21:14:16
100081-9,Endothelial cell area.max,2025-09-11 21:14:16
100082-7,Endothelial cell area.mean,2025-09-11 21:14:16
100083-5,Endothelial cell area.mean,2025-09-11 21:14:16
100084-3,Cell area.standard deviation,2025-09-11 21:14:16
100085-0,Cell area.standard deviation,2025-09-11 21:14:16
100086-8,Analysis method,2025-09-11 21:14:16
100087-6,Toxocara canis 24-35kD Ab.IgG,2025-09-11 21:14:16
100088-4,Taenia solium larva Ab bands panel,2025-09-11 21:14:16
100089-2,Taenia solium larva 6-8kD Ab,2025-09-11 21:14:16
